Name	Type	Description	
ABSACON	Computer		
ABSAFILES	Computer		
ADMONITOR	Computer		
ANTIVIRUS	Computer		
API	Computer		
ARCADESNEW	Computer		
ARCADESVORTO	Computer		
ARCADESVORTOO	Computer		
BACKUP	Computer		
BAPIDATABASE	Computer		
BAPISERVICE	Computer		
BAYSIDEVORTO	Computer		
BEDFORDSQVORTO	Computer		
BIZTALKPROD01	Computer		
BLUEROUTEOLD	Computer		
BLUEROUTEVORTO	Computer		
BOARDWALKVORTO	Computer		
BOBJ	Computer		
BOBTEST	Computer		
BROOKLYNNVORTO	Computer		
BROOKLYNVORTO	Computer		
BTWOB	Computer		
CAPEGATEVORTO	Computer		
CAPEGATEVORTO-O	Computer		
CAPESITE	Computer		
CARLTONVORTO	Computer		
CARNIVALCVORTO	Computer		
CARNIVALOLD	Computer		
CAVENDISHNVORTO	Computer		
CAVENDISHOLD	Computer		
CAVENDISHVORTO	Computer		
CDC	Computer		
CEDARSQVORTO	Computer		
CENTURIONVORTO	Computer		
CINEJHB	Computer		
CINEMA-GATEWAY	Computer		
CINEMARK2950	Computer	Cinemark Server virtual network host	
CINEMARKFTP	Computer		
CINEMASDC	Computer		
COMMVAULT	Computer		
CPTSERV	Computer		
CRESTAVORTO	Computer		
CRESTAVORTOOLD	Computer		
CRM-APP	Computer		
CRMPROD	Computer		
CRMSQL	Computer		
CTDATA	Computer		
CYESTDEV	Computer		
DBNDATA	Computer		
EASTGATEOLD	Computer		
EASTGATEVORTO	Computer		
E-BUCK-NEW	Computer		
EBUCKSLIVE	Computer		
EDGARSPROXY	Computer		
EIKESTADVORTO	Computer		
ERMVORTO	Computer		
EXCHANGE-CA	Computer		
EXCHANGE-MB	Computer		
FESTIVALVORTO	Computer		
FOURWAYSVORTO	Computer		
GATEWAYNREPLACE	Computer		
GATEWAYNVORTO	Computer		
GATEWAYVORTO	Computer		
GATEWAYVORTOOLD	Computer		
GENESIS-RD	Computer		
GHIA	Computer		
GREENSTONEVORTO	Computer		
GRMVORTO	Computer		
GRMVORTOOLD	Computer		
GWCOMMVORTO	Computer		
HP-DATA-PROT	Computer		
HYPERION	Computer		
INTELLEPARKQA	Computer		
INTRANET	Computer		
IPEC-TEST	Computer		
IRENEVORTO	Computer		
ITDESK	Computer		
JHBDC	Computer		
JHBVORTOSPARE	Computer		
KENILWORTHVORTO	Computer		
KEYWESTVORTO	Computer		
KOLONNADEOLD	Computer		
KOLONNADEVORTO	Computer		
KOWLOON	Computer		
KZNSITE	Computer		
MACVORTO	Computer		
MAERUANEWVORTO	Computer		
MAERUAVORTO	Computer		
MAILARCH	Computer		
MAPONYAVORTO	Computer		
MARS	Computer		
MIMOSAVORTO	Computer		
MIT-IPAD	Computer		
MONITOR	Computer		
MOOIRIVIERVORTO	Computer		
MOTNVORTO	Computer		
MOVIESTOP	Computer		
MUSGRAVEVORTO	Computer		
N1CITYVORTO	Computer		
NETFLOW	Computer		
NETSURITJUMPBOX	Computer		
NETWORK	Computer		
NOMADGATEWAY	Computer		
NORTHCAPEVORTO	Computer		
NORTHGATEVORTO	Computer		
NORTHMEADVORTO	Computer		
PAROWVORTO	Computer		
PAYMENTS	Computer		
POTCHVORTO	Computer		
PRIMOVIE-ECC5	Computer		
PROMENADEVORTO	Computer		
PROXY	Computer		
PULSE2	Computer		
PULSE2-NEW	Computer		
QASITEA	Computer		
QASITEB	Computer		
RADIUS	Computer		
RIVEROLD	Computer		
RIVERSQVORTO	Computer		
ROSEBANKNVORTO	Computer		
RUSTENBURGVORTO	Computer		
SANDTON	Computer		
SANDTONNEW	Computer		
SANDTONVNEW	Computer		
SANDTONVORTO	Computer		
SAPPORTAL	Computer		
SAPPORTALPROD1	Computer		
SAPPROD	Computer		
SAPPRODDB	Computer		
SAPSKDEV	Computer		
SAPTERM	Computer		
SAPTRN	Computer		
SARS	Computer		
SAVANNAHVORTO	Computer		
SAVANNHA-TEMP	Computer		
SECURE	Computer		
SERVER2012	Computer		
SHELLYBVORTO	Computer		
SKBAPITEST	Computer		
SKBATCH	Computer		
SKBOSS	Computer		
SKHOUSTON	Computer		
SKHV01	Computer		
SKHV02	Computer		
SKHV04	Computer		
SKHV05	Computer		
SKHV06	Computer		
SKHV-BLADE01	Computer		
SKIDES	Computer		
SKMARVAL	Computer		
SKPAY	Computer		
SKPRINT1	Computer		
SKPROXY	Computer		
SKREPORTING	Computer		
SKSAPDEV	Computer		
SKSAPPORTAL	Computer		
SKSAPQA	Computer		
Sksaptrn	Computer		
SK-SCOM2	Computer		
SKSOLMAN7	Computer		
SKT-BES	Computer		
SKT-BUG	Computer		
SKT-CERT	Computer		
SKT-DC01	Computer		
SKT-DC02	Computer		
SKT-HO-VCS	Computer		
SKT-HO-VIEW	Computer		
SKT-MAILARC	Computer		
SKT-MON	Computer		
SKT-MONITOR	Computer		
SKTRANS	Computer		
SKTRANSDEV	Computer		
SKT-SAPSM7	Computer		
SKT-SONICWALL	Computer		
SKT-SP1	Computer		
SKT-WSUS	Computer		
SKWEB1	Computer	Web Server 1	
SMS2	Computer		
SOMERSETVORTO	Computer		
SOUTHGATEVORTO	Computer		
SQLCUBE	Computer		
STANDARDBANK	Computer		
STERLANDVORTO	Computer		
STOCKVORTO	Computer		
SVN	Computer		
TESTVORTO	Computer		
THEBRIDGEVORTO	Computer		
THEZONEVORTO	Computer		
TREND	Computer	AntiVirus Server	
TYGEROLD	Computer		
TYGERVORTO	Computer		
USERS	Computer		
USERS-OLD	Computer		
VANDANVORTO	Computer		
VINCENTPVORTO	Computer		
VIRTUALDC	Computer		
VM-CONVERTER	Computer		
VORTOAPP	Computer		
VORTOCENT	Computer		
VORTOCENTRAL	Computer		
VORTOTEMP03	Computer		
WAREHOUSE	Computer		
WEBHOSTING	Computer		
WEBSITE	Computer		
WEBSITE2	Computer		
WESTGATEVORTO	Computer		
WIN-LLA2CQMHP5V	Computer		
WONDERPARKVORTO	Computer		
