objectType,attributeType,required
Group,GoodbyeMessage,False
Group,hideDLMembership,False
Group,msExchHideFromAddressLists,False
Group,msExchRequireAuthToSendTo,False
Group,GoodbyeMessageEnabled,False
Group,WelcomeMessageEnabled,False
Group,unauthOrig,False
Person,userPrincipalName,False
Group,WelcomeMessage,False
Person,UserAccountControl,False
Group,OOFReplytoOriginator,False
Group,AcceptsMailFromExternal,False
Group,dlMemSubmitPerms,False
Group,AuthOrig,False
Group,ADAccountStatus,False
Group,GeneratedGroup,False
Group,RetentionPeriod,False
Person,ADAccountStatus,False
